店名,カテゴリ,月,火,水,木,金,土,日,備考
鶴屋百貨店 （本館・東館・ウイング館4F）,ショッピング,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,"TEL:
ADDR:
NOTE:
TAG:
"
鶴屋百貨店 （7階レストランアベニュー）,飲食,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,"TEL:
ADDR:
NOTE:
TAG:
"
New-S Tsuruya,ショッピング,10:30-19:30,10:30-19:30,10:30-19:30,10:30-19:30,10:30-19:30,10:30-19:30,10:30-19:30,"TEL:
ADDR:
NOTE:
TAG:
"
COCOSA （SHOP）,ショッピング,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,"TEL:
ADDR:
NOTE:
TAG:
"
COCOSA （CAFE）,飲食,8:00-22:00,8:00-22:00,8:00-22:00,8:00-22:00,8:00-22:00,8:00-22:00,8:00-22:00,"TEL:
ADDR:
NOTE:
TAG:
"
COCOSA （B1食品売り場）,ショッピング,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,"TEL:
ADDR:
NOTE:
TAG:
"
サクラマチクマモト （1F-3F）,ショッピング,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,"TEL:
ADDR:
NOTE:
TAG:
"
サクラマチクマモト （B1 食品売り場）,ショッピング,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,"TEL:
ADDR:
NOTE:
TAG:
"
サクラマチクマモト （B1 FOOD HALL）,飲食,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,"TEL:
ADDR:
NOTE:
TAG:
"
サクラマチクマモト （B1 SAKURA MACHI 10TAVERNS）,飲食,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,"TEL:
ADDR:
NOTE:
TAG:
"
サクラマチクマモト （3F SAKURA MACHI 10DININGS）,飲食,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,"TEL:
ADDR:
NOTE:
TAG:
"
サクラマチクマモト （自動外貨両替機）,観光・エリア,10:00-20:30,10:00-20:30,10:00-20:30,10:00-20:30,10:00-20:30,10:00-20:30,10:00-20:30,"TEL:
ADDR:
NOTE:
TAG:
"
阿部牧場 （HAB＠1F）,飲食,12:00-18:00,12:00-18:00,12:00-18:00,定休日（祝日の場合は翌日）,12:00-18:00,12:00-18:00,12:00-18:00,"TEL: 096-278-8800
ADDR:
NOTE: 定休-木曜日 （祝日の場合は翌日）
TAG:
"
ジュピター （HAB＠1F）,ショッピング,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,"TEL: 096-276-6151
ADDR:
NOTE: コーヒー豆・輸入食品
TAG:
"
BRIEFING （HAB＠1F）,ショッピング,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,"TEL:
ADDR:
NOTE:
TAG:
"
